Rf_i;Rf_j;Lbl_p;Lbl_q;Wordnet wup equivalence indicator;Equivalence estimate
Rf05;Rf03;Environment;Software;0,285714286;Low
Rf05;Rf08;Environment;Activity;0,333333333;Low
Rf05;Rf09;Actor;SoS;0,153846154;Low
Rf05;Rf09;Actor;Constellation;0,133333333;Low
Rf05;Rf12;Actor;Executor;0,631578947;Moderate
Rf05;Rf12;Actor;Connectivity;0,166666667;Low
Rf05;Rf12;Actor;Cooperation;0,153846154;Low
Rf05;Rf11;Actor;Role;0,125;Low
Rf05;Rf11;Actor;Metric;0,153846154;Low
Rf05;Rf11;Actor;Entity;0,25;Low
Rf05;Rf03;Actor;Payload;0,266666667;Low
Rf05;Rf03;Actor;Software;0,133333333;Low
Rf05;Rf08;Actor;Activity;0,153846154;Low
Rf05;Rf09;Communication;SoS;0,333333333;Low
Rf05;Rf09;Communication;Constellation;0,428571429;Low
Rf05;Rf12;Communication;Executor;0,166666667;Low
Rf05;Rf12;Communication;Connectivity;0,363636364;Low
Rf05;Rf12;Communication;Cooperation;0,769230769;High
Rf05;Rf11;Communication;Role;0,666666667;Moderate
Rf05;Rf11;Communication;Actor;0,153846154;Low
Rf05;Rf11;Communication;Metric;0,333333333;Low
Rf05;Rf11;Communication;Entity;0,285714286;Low
Rf05;Rf03;Communication;Payload;0,266666667;Low
Rf05;Rf03;Communication;Software;0,285714286;Low
Rf05;Rf08;Communication;Activity;0,833333333;High
Rf09;Rf12;SoS;Executor;0,166666667;Low
Rf09;Rf12;SoS;Connectivity;0,363636364;Low
Rf09;Rf12;SoS;Cooperation;0,333333333;Low
Rf09;Rf11;SoS;Role;0,266666667;Low
Rf09;Rf11;SoS;Metric;0,333333333;Low
Rf09;Rf11;SoS;Entity;0,285714286;Low
Rf09;Rf03;SoS;Payload;0,266666667;Low
Rf09;Rf03;SoS;Software;0,428571429;Low
Rf09;Rf08;SoS;Activity;0,333333333;Low
Rf09;Rf12;Constellation;Executor;0,142857143;Low
Rf09;Rf12;Constellation;SoS;0,285714286;Low
Rf09;Rf12;Constellation;Connectivity;0,307692308;Low
Rf09;Rf12;Constellation;Cooperation;0,428571429;Low
Rf09;Rf11;Constellation;Role;0,352941176;Low
Rf09;Rf11;Constellation;Metric;0,285714286;Low
Rf09;Rf11;Constellation;Entity;0,222222222;Low
Rf09;Rf03;Constellation;Payload;0,235294118;Low
Rf09;Rf03;Constellation;Software;0,25;Low
